Industry,Code
Natural Gas Transmission,4922
Gas Production and/or Distribution,4925
Refuse Systems,4953
Automobiles & Other Motor Vehicles,5012
Motor Vehicles Supplies and New Parts,5013
Furniture,5021
"Construction Materials, NEC",5039
Medical and Hospital Equipment,5047
Metals Service Centers and Offices,5051
Plumbing & Hydronic Heating Supplies,5074
Industrial Supplies,5085
"Groceries, General Line",5141
Information Services,5141
Fish and Seafoods,5146
Grain,5153
"Farm-Product Raw Materials, NEC",5159
"Chemicals and Allied Products, NEC",5169
Wines and Distilled Beverages,5182
Other Information Services,5191
"Books, Periodicals, & Newspapers",5192
Offices of Real Estate Agents and Brokers,5312
New and Used Car Dealers,5511
Gasoline Service Stations,5541
Boat Dealers,5551
Eating Places,5812
Used Merchandise Stores,5932
Sporting Goods and Bicycle Shops,5941
"Hobby, Toy, and Game Shops",5945
"Miscellaneous Retail Stores, NEC",5999
Functions Related to Deposit Banking,6099
Security Brokers and Dealers,6211
"Commodity Contracts Brokers, Dealers",6221
Security and Commodity Exchanges,6231
Investment Advice,6282
Accident & Health Insurance,6321
Hospital & Medical Service Plans,6324
Real Estate Agents & Managers,6531
Patent Owners and Lessors,6794
"Hotels, Motels, & Tourist Courts",7011
Linen Supply,7213
Funeral Service & Crematories,7261
Outdoor Advertising Services,7312
Medical Equipment Rental and Leasing,7352
Computer Programming Services,7371
Computer Programming and Software,7372
Computer Integrated Systems Design,7373
Data Processing Services,7374
Information Retrieval Services,7375
"Business Services, Not Elsewhere Classified",7389
Automobile Parking,7521
Top & Body Repair & Paint Shops,7532
Automotive Glass Replacement Shops,7536
"Electrical Repair Shops, NEC",7629
Motion Picture & Video Production,7812
Motion Picture Production for TV,7814
Services Allied to Motion Pictures,7819
"Motion Picture Theaters, Ex. Drive-In",7832
Theatrical Producers and Services,7922
Amusement Parks,7996
"Amusement and Recreation, NEC",7999
Offices & Clinics of Medical Doctors,8011
Offices of Dentists,8021
Offices of Optometrists,8042
General Medical & Surgical Hospitals,8062
Outpatient Care Facilities,8081
Legal Services,8111
Automotive Repair and Maintenance,8111
"Colleges and Universities, NEC",8221
Individual and Family Services,8322
Business Associations,8611
Professional Organizations,8621
"Accounting, Auditing, and Bookkeeping",8721
Police Protection,9221
Soybean Farming,11111
Cotton Farming,11192
Stone Mining and Quarrying,21231
"Chlorine, Compressed or Liquefied",28121
"Inorganic Acids, Exc. Nitric, Sulfuric, Phosphor",28194
Other Aluminum Compounds,28196
"Potass., Sodium Comp., Exc. Bleach, Alkali, Alum.",28197
"Other Inorganic Chemicals, NEC",28199
Thermoplastic Resins and Plastics Materials,28213
Household Bleaches,28422
Specialty Cleaning and Sanitation Products,28423
Polishing Preparations and Related Products,28424
Cyclic Intermediates,28651
"Synthetic Organic Chems., NEC, Not Bulk",28693
"Lubricating Oils and Greases, Made in Refineries",29117
Flour Milling and Malt Manufacturing,31121
Animal Slaughtering and Processing,31161
Pharmaceutical and Medicine Manufacturing,32541
Toilet Preparation Manufacturing,32562
"Laminated Plastics Plate, Sheet, and Shape Manufacturing",32613
Gypsum Product Manufacturing,32742
Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,33422
Heavy Duty Truck Manufacturing,33612
Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,33631
Railroad Rolling Stock Manufacturing,33651
Golf Equipment,39492
Grain and Field Bean Wholesalers,42251
Other Farm Product Raw Material Wholesalers,42259
New Car Dealers,44111
Electronic Shopping and Mail-Order Houses,45411
Interurban and Rural Bus Transportation,48521
Book Publishers,51113
Software Publishers,51121
Radio Broadcasting,51311
Television Broadcasting,51312
Cable Networks,51321
Cable and Other Program Distribution,51322
Wired Telecommunications Carriers,51331
Telecommunications Resellers,51333
Other Information Services,51419
Wireless Telecommunications Carriers (except Satellite),51721
"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52232
Investment Banking and Securities Dealing,52311
Offices of Real Estate Agents and Brokers,53121
Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),53311
Display Advertising,54185
Temporary Help Services,56132
Travel Agencies,56151
Waste Collection,56211
"Colleges, Universities, and Professional Schools",61131
All Other Schools and Instruction,61169
Offices of Physicians,62111
Offices of Dentists,62121
Offices of All Other Health Practitioners,62139
General Medical and Surgical Hospitals,62211
Skiing Facilities,71392
Hotels (except Casino Hotels) and Motels,72111
Food Service Contractors,72231
Parking Lots and Garages,81293
Mushroom Production,111411
Sugar Beet Farming,111991
Beef Cattle Ranching and Farming,112111
Cattle Feedlots,112112
Dairy Cattle and Milk Production,112120
Hog and Pig Farming,112210
Finfish Farming and Fish Hatcheries,112511
Fur-Bearing Animal and Rabbit Production,112930
Finfish Fishing,114111
Shellfish Fishing,114112
Crude Petroleum and Natural Gas Extraction,211111
All Other Metal Ore Mining,212299
Crushed and Broken Limestone Mining and Quarrying,212312
Crushed and Broken Granite Mining and Quarrying,212313
Other Crushed and Broken Stone Mining and Quarrying,212319
Construction Sand and Gravel Mining,212321
Industrial Sand Mining,212322
Kaolin and Ball Clay Mining,212324
"Potash, Soda, and Borate Mineral Mining",212391
Other Chemical and Fertilizer Mineral Mining,212393
Support Activities for Oil and Gas Operations,213112
Fossil Fuel Electric Power Generation,221112
Nuclear Electric Power Generation,221113
Other Electric Power Generation,221119
Electric Power Distribution,221122
Natural Gas Distribution,221210
Commercial and Institutional Building Construction,233320
Highway and Street Construction,234110
"Water, Sewer, and Pipeline Construction",234910
"Plumbing, Heating, and Air-Conditioning Contractors",235110
Electrical Contractors,235310
"Roofing, Siding, and Sheet Metal Contractors",235610
Residential Remodelers,236118
Commercial and Institutional Building Construction,236220
Other Heavy and Civil Engineering Construction,237990
Flour Milling,311211
Wet Corn Milling,311221
Fruit and Vegetable Canning,311421
Fluid Milk Manufacturing,311511
Creamery Butter Manufacturing,311512
Animal (except Poultry) Slaughtering,311611
Meat Processed from Carcasses,311612
Poultry Processing,311615
Seafood Canning,311711
Commercial Bakeries,311812
Flavoring Syrup and Concentrate Manufacturing,311930
Ice Manufacturing,312113
Breweries,312120
Yarn Spinning Mills,313111
Reconstituted Wood Product Manufacturing,321219
Wood Window and Door Manufacturing,321911
Pulp Mills,322110
Paper (except Newsprint) Mills,322121
Newsprint Mills,322122
Paperboard Mills,322130
Folding Paperboard Box Manufacturing,322212
Coated and Laminated Packaging Paper and Plastics Film Manufacturing,322221
"Plastics, Foil, and Coated Paper Bag Manufacturing",322223
Laminated Aluminum Foil Manufacturing for Flexible Packaging Uses,322225
Sanitary Paper Product Manufacturing,322291
Commercial Lithographic Printing,323110
Asphalt Paving Mixture and Block Manufacturing,324121
All Other Petroleum and Coal Products Manufacturing,324199
Industrial Gas Manufacturing,325120
Synthetic Organic Dye and Pigment Manufacturing,325132
All Other Basic Inorganic Chemical Manufacturing,325188
All Other Basic Organic Chemical Manufacturing,325199
Plastics Material and Resin Manufacturing,325211
Synthetic Rubber Manufacturing,325212
Noncellulosic Organic Fiber Manufacturing,325222
Nitrogenous Fertilizer Manufacturing,325311
Phosphatic Fertilizer Manufacturing,325312
Pesticide and Other Agricultural Chemical Manufacturing,325320
Medicinal and Botanical Manufacturing,325411
Pharmaceutical Preparation Manufacturing,325412
Soap and Other Detergent Manufacturing,325611
Toilet Preparation Manufacturing,325620
All Other Miscellaneous Chemical Product and Preparation Manufacturing,325998
Urethane and Other Foam Product (except Polystyrene) Manufacturing,326150
Rubber and Plastics Hoses and Belting Manufacturing,326220
Ceramic Wall and Floor Tile Manufacturing,327122
Other Structural Clay Product Manufacturing,327123
Nonclay Refractory Manufacturing,327125
Flat Glass Manufacturing,327211
Cement Manufacturing,327310
Ready-Mix Concrete Manufacturing,327320
Concrete Block and Brick Manufacturing,327331
Concrete Pipe Manufacturing,327332
Other Concrete Product Manufacturing,327390
Iron and Steel Mills,331111
Rolled Steel Shape Manufacturing,331221
Alumina Refining,331311
Primary Aluminum Production,331312
Secondary Smelting and Alloying of Aluminum,331314
"Aluminum Sheet, Plate, and Foil Manufacturing",331315
Aluminum Extruded Product Manufacturing,331316
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",331492
Iron Foundries,331511
Steel Investment Foundries,331512
Fabricated Structural Metal Manufacturing,332312
Sheet Metal Work Manufacturing,332322
Hardware Manufacturing,332510
Spring (Heavy Gauge) Manufacturing,332611
Industrial Valve Manufacturing,332911
Ball and Roller Bearing Manufacturing,332991
Ammunition (except Small Arms) Manufacturing,332993
All Other Miscellaneous Fabricated Metal Product Manufacturing,332999
Farm Machinery and Equipment Manufacturing,333111
Construction Machinery Manufacturing,333120
Oil and Gas Field Machinery and Equipment Manufacturing,333132
Office Machinery Manufacturing,333313
Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,333415
Pump and Pumping Equipment Manufacturing,333911
"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",333924
All Other Miscellaneous General Purpose Machinery Manufacturing,333999
Computer Storage Device Manufacturing,334112
Other Computer Peripheral Equipment Manufacturing,334119
Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,334220
Other Communications Equipment Manufacturing,334290
Audio and Video Equipment Manufacturing,334310
Electron Tube Manufacturing,334411
Semiconductor and Related Device Manufacturing,334413
Electronic Connector Manufacturing,334417
Electromedical and Electrotherapeutic Apparatus Manufacturing,334510
"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",334511
"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",334512
"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",334513
Totalizing Fluid Meter and Counting Device Manufacturing,334514
Irradiation Apparatus Manufacturing,334517
"Watch, Clock, and Part Manufacturing",334518
Other Measuring and Controlling Device Manufacturing,334519
Magnetic and Optical Recording Media Manufacturing,334613
"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",335122
Motor and Generator Manufacturing,335312
Storage Battery Manufacturing,335911
Other Communication and Energy Wire Manufacturing,335929
Carbon and Graphite Product Manufacturing,335991
Other Motor Vehicle Electrical and Electronic Equipment Manufacturing,336322
Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,336330
Motor Vehicle Brake System Manufacturing,336340
Motor Vehicle Transmission and Power Train Parts Manufacturing,336350
Aircraft Engine and Engine Parts Manufacturing,336412
Other Aircraft Parts and Auxiliary Equipment Manufacturing,336413
Guided Missile and Space Vehicle Manufacturing,336414
Railroad Rolling Stock Manufacturing,336510
"Military Armored Vehicle, Tank, and Tank Component Manufacturing",336992
Blind and Shade Manufacturing,337920
Ophthalmic Goods Manufacturing,339115
"Game, Toy, and Children's Vehicle Manufacturing",339932
Sign Manufacturing,339950
"Gasket, Packing, and Sealing Device Manufacturing",339991
Other Commercial Equipment Wholesalers,421440
Industrial Machinery and Equipment Wholesalers,421830
Service Establishment Equipment and Supplies Wholesalers,421850
Industrial and Personal Service Paper Wholesalers,422130
Drugs and Druggists' Sundries Wholesalers,422210
General Line Grocery Wholesalers,422410
Dairy Product (except Dried or Canned) Wholesalers,422430
Petroleum Bulk Stations and Terminals,422710
Petroleum and Petroleum Products Wholesalers (except Bulk Stations and Terminals),422720
Beer and Ale Wholesalers,422810
"Book, Periodical, and Newspaper Wholesalers",422920
Automobile and Other Motor Vehicle Merchant Wholesalers,423110
Motor Vehicle Supplies and New Parts Merchant Wholesalers,423120
"Brick, Stone, and Related Construction Material Merchant Wholesalers",423320
Office Equipment Merchant Wholesalers,423420
Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,423430
Packaged Frozen Food Merchant Wholesalers,424420
Meat and Meat Product Merchant Wholesalers,424470
Other Grocery and Related Products Merchant Wholesalers,424490
Livestock Merchant Wholesalers,424520
Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),424720
Beer and Ale Merchant Wholesalers,424810
Other Miscellaneous Nondurable Goods Merchant Wholesalers,424990
Boat Dealers,441222
Automotive Parts and Accessories Stores,441310
Other Gasoline Stations,447190
"Hobby, Toy, and Game Stores",451120
Book Stores,451211
Used Merchandise Stores,453310
Art Dealers,453920
Scheduled Passenger Air Transportation,481111
Scheduled Freight Air Transportation,481112
Line-Haul Railroads,482111
Deep Sea Freight Transportation,483111
Coastal and Great Lakes Freight Transportation,483113
"General Freight Trucking, Long-Distance, Truckload",484121
"Specialized Freight (except Used Goods) Trucking, Local",484220
"Scenic and Sightseeing Transportation, Land",487110
Other Airport Operations,488119
Other Support Activities for Air Transportation,488190
Freight Transportation Arrangement,488510
General Warehousing and Storage,493110
Newspaper Publishers,511110
Book Publishers,511130
Software Publishers,511210
Motion Picture and Video Production,512110
Motion Picture and Video Distribution,512120
Motion Picture Theaters (except Drive-Ins),512131
Music Publishers,512230
Radio Networks,513111
Radio Stations,513112
Television Broadcasting,513120
Cable and Other Program Distribution,513220
Wired Telecommunications Carriers,513310
Paging,513321
Cellular and Other Wireless Telecommunications,513322
On-Line Information Services,514191
Radio Stations,515112
Television Broadcasting,515120
Cable and Other Subscription Programming,515210
Internet Publishing and Broadcasting,516110
Wired Telecommunications Carriers,517110
Cellular and Other Wireless Telecommunications,517212
Cable and Other Program Distribution,517510
Web Search Portals,518112
"Data Processing, Hosting, and Related Services",518210
News Syndicates,519110
Libraries and Archives,519120
All Other Information Services,519190
Commercial Banking,522110
Other Depository Credit Intermediation,522190
Consumer Lending,522291
"Financial Transactions Processing, Reserve, and Clearinghouse Activities",522320
Investment Banking and Securities Dealing,523110
Securities and Commodity Exchanges,523210
Miscellaneous Intermediation,523910
Portfolio Management,523920
Investment Advice,523930
Direct Life Insurance Carriers,524113
Direct Health and Medical Insurance Carriers,524114
Third Party Administration of Insurance and Pension Funds,524292
Offices of Real Estate Agents and Brokers,531210
Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),533110
Architectural Services,541310
Engineering Services,541330
Custom Computer Programming Services,541511
Computer Systems Design Services,541512
Other Computer Related Services,541519
Human Resources and Executive Search Consulting Services,541612
"Research and Development in the Physical, Engineering, and Life Sciences",541710
Direct Mail Advertising,541860
Other Services Related to Advertising,541890
Facilities Support Services,561210
Security Guards and Patrol Services,561612
Janitorial Services,561720
Solid Waste Collection,562111
Hazardous Waste Collection,562112
Hazardous Waste Treatment and Disposal,562211
Solid Waste Landfill,562212
Solid Waste Combustors and Incinerators,562213
Other Nonhazardous Waste Treatment and Disposal,562219
Remediation Services,562910
Materials Recovery Facilities,562920
Septic Tank and Related Services,562991
"Colleges, Universities, and Professional Schools",611310
All Other Miscellaneous Schools and Instruction,611699
Educational Support Services,611710
Offices of Physicians (except Mental Health Specialists),621111
Offices of All Other Miscellaneous Health Practitioners,621399
HMO Medical Centers,621491
General Medical and Surgical Hospitals,622110
"Promoters of Performing Arts, Sports, and Similar Events without Facilities",711320
"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",711410
Hotels (except Casino Hotels) and Motels,721110
Casino Hotels,721120
Limited-Service Restaurants,722211
Automotive Glass Replacement Shops,811122
Computer and Office Machine Repair and Maintenance,811212
Other Electronic and Precision Equipment Repair and Maintenance,811219
Linen Supply,812331
Parking Lots and Garages,812930
Professional Organizations,813920
Hair preparations (including shampoos),3256207
Concrete block and brick,3273310
All other industrial patterns (except shoe patterns),33299702
Industrial medium density fiberboard (MDF) made from MDF produced at the same location,3212193111
"3 in. to 4 in. deck faucet sink fittings, exposed type (rough or plated, with or without hose end), excluding double laundry-tray faucets",3329133131
